Store,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,Day
1,1643690.9,0,42.31,2.572,211.0963582,8.106,2,5
1,1641957.44,1,38.51,2.548,211.2421698,8.106,2,12
1,1611968.17,0,39.93,2.514,211.2891429,8.106,2,19
1,1409727.59,0,46.63,2.561,211.3196429,8.106,2,26
1,1554806.68,0,46.5,2.625,211.3501429,8.106,3,5
1,1439541.59,0,57.79,2.667,211.3806429,8.106,3,12
1,1472515.79,0,54.58,2.72,211.215635,8.106,3,19
1,1404429.92,0,51.45,2.732,211.0180424,8.106,3,26
1,1594968.28,0,62.27,2.719,210.8204499,7.808,4,2
1,1545418.53,0,65.86,2.77,210.6228574,7.808,4,9
1,1466058.28,0,66.32,2.808,210.4887,7.808,4,16
1,1391256.12,0,64.84,2.795,210.4391228,7.808,4,23
1,1425100.71,0,67.41,2.78,210.3895456,7.808,4,30
1,1603955.12,0,72.55,2.835,210.3399684,7.808,5,7
1,1494251.5,0,74.78,2.854,210.3374261,7.808,5,14
1,1399662.07,0,76.44,2.826,210.6170934,7.808,5,21
1,1432069.95,0,80.44,2.759,210.8967606,7.808,5,28
1,1615524.71,0,80.69,2.705,211.1764278,7.808,6,4
1,1542561.09,0,80.43,2.668,211.4560951,7.808,6,11
1,1503284.06,0,84.11,2.637,211.4537719,7.808,6,18
1,1422711.6,0,84.34,2.653,211.3386526,7.808,6,25
1,1492418.14,0,80.91,2.669,211.2235333,7.787,7,2
1,1546074.18,0,80.48,2.642,211.108414,7.787,7,9
1,1448938.92,0,83.15,2.623,211.1003854,7.787,7,16
1,1385065.2,0,83.36,2.608,211.2351443,7.787,7,23
1,1371986.6,0,81.84,2.64,211.3699032,7.787,7,30
1,1605491.78,0,87.16,2.627,211.5046621,7.787,8,6
1,1508237.76,0,87.0,2.692,211.6394211,7.787,8,13
1,1513080.49,0,86.65,2.664,211.6033633,7.787,8,20
1,1449142.92,0,85.22,2.619,211.5673056,7.787,8,27
1,1540163.53,0,81.21,2.577,211.5312479,7.787,9,3
1,1507460.69,1,78.69,2.565,211.4951902,7.787,9,10
1,1430378.67,0,82.11,2.582,211.5224596,7.787,9,17
1,1351791.03,0,80.94,2.624,211.5972246,7.787,9,24
1,1453329.5,0,71.89,2.603,211.6719895,7.838,10,1
1,1508239.93,0,63.93,2.633,211.7467544,7.838,10,8
1,1459409.1,0,67.18,2.72,211.8137436,7.838,10,15
1,1345454.0,0,69.86,2.725,211.8612937,7.838,10,22
1,1384209.22,0,69.64,2.716,211.9088438,7.838,10,29
1,1551659.28,0,58.74,2.689,211.9563939,7.838,11,5
1,1494479.49,0,59.61,2.728,212.003944,7.838,11,12
1,1483784.18,0,51.41,2.771,211.8896737,7.838,11,19
1,1955624.11,1,64.52,2.735,211.7484333,7.838,11,26
1,1548033.78,0,49.27,2.708,211.607193,7.838,12,3
1,1682614.26,0,46.33,2.843,211.4659526,7.838,12,10
1,1891034.93,0,49.84,2.869,211.4053124,7.838,12,17
1,2387950.2,0,52.33,2.886,211.4051222,7.838,12,24
1,1367320.01,1,48.43,2.943,211.4049321,7.838,12,31
1,1444732.28,0,48.27,2.976,211.4047419,7.742,1,7
1,1391013.96,0,35.4,2.983,211.4574109,7.742,1,14
1,1327405.42,0,44.04,3.016,211.8272343,7.742,1,21
1,1316899.31,0,43.83,3.01,212.1970577,7.742,1,28
1,1606629.58,0,42.27,2.989,212.5668812,7.742,2,4
1,1649614.93,1,36.39,3.022,212.9367046,7.742,2,11
1,1686842.78,0,57.36,3.045,213.2478853,7.742,2,18
1,1456800.28,0,62.9,3.065,213.535609,7.742,2,25
1,1636263.41,0,59.58,3.288,213.8233327,7.742,3,4
1,1553191.63,0,53.56,3.459,214.1110564,7.742,3,11
1,1576818.06,0,62.76,3.488,214.3627114,7.742,3,18
1,1541102.38,0,69.97,3.473,214.5999389,7.742,3,25
1,1495064.75,0,59.17,3.524,214.8371664,7.682,4,1
1,1614259.35,0,67.84,3.622,215.0743939,7.682,4,8
1,1559889.0,0,71.27,3.743,215.2918561,7.682,4,15
1,1564819.81,0,72.99,3.807,215.4599053,7.682,4,22
1,1455090.69,0,72.03,3.81,215.6279544,7.682,4,29
1,1629391.28,0,64.61,3.906,215.7960035,7.682,5,6
1,1604775.58,0,75.64,3.899,215.9640526,7.682,5,13
1,1428218.27,0,67.63,3.907,215.7339202,7.682,5,20
1,1466046.67,0,77.72,3.786,215.5037878,7.682,5,27
1,1635078.41,0,83.0,3.699,215.2736553,7.682,6,3
1,1588948.32,0,83.13,3.648,215.0435229,7.682,6,10
1,1532114.86,0,86.41,3.637,214.9980596,7.682,6,17
1,1438830.15,0,83.58,3.594,215.0910982,7.682,6,24
1,1488538.09,0,85.55,3.524,215.1841368,7.962,7,1
1,1534849.64,0,85.83,3.48,215.2771754,7.962,7,8
1,1455119.97,0,88.54,3.575,215.3611087,7.962,7,15
1,1396926.82,0,85.77,3.651,215.4222784,7.962,7,22
1,1352219.79,0,86.83,3.682,215.4834482,7.962,7,29
1,1624383.75,0,91.65,3.684,215.544618,7.962,8,5
1,1525147.09,0,90.76,3.638,215.6057878,7.962,8,12
1,1530761.43,0,89.94,3.554,215.6693107,7.962,8,19
1,1464693.46,0,87.96,3.523,215.7332258,7.962,8,26
1,1550229.22,0,87.83,3.533,215.7971409,7.962,9,2
1,1540471.24,1,76.0,3.546,215.861056,7.962,9,9
1,1514259.78,0,79.94,3.526,216.0410526,7.962,9,16
1,1380020.27,0,75.8,3.467,216.3758246,7.962,9,23
1,1394561.83,0,79.69,3.355,216.7105965,7.962,9,30
1,1630989.95,0,69.31,3.285,217.0453684,7.866,10,7
1,1493525.93,0,71.74,3.274,217.3552733,7.866,10,14
1,1502562.78,0,63.71,3.353,217.5159762,7.866,10,21
1,1445249.09,0,66.57,3.372,217.6766791,7.866,10,28
2,2136989.46,0,40.19,2.572,210.7526053,8.324,2,5
2,2137809.5,1,38.49,2.548,210.8979935,8.324,2,12
2,2124451.54,0,39.69,2.514,210.9451605,8.324,2,19
2,1865097.27,0,46.1,2.561,210.9759573,8.324,2,26
2,1991013.13,0,47.17,2.625,211.0067542,8.324,3,5
2,1990483.78,0,57.56,2.667,211.037551,8.324,3,12
2,1946070.88,0,54.52,2.72,210.8733316,8.324,3,19
